שנה,סעיף תקציבי,כותרת סעיף,גוף נתמך,מספר גוף,סוג גוף,סכום שאושר,סכום שהועבר,כתובת (מגיידסטאר / רשם החברות),עיר,מיקוד
2014,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪49,662","₪49,662",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2015,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪45,657","₪45,657",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2016,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪44,887","₪44,887",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2013,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪24,590","₪24,590",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2012,19420231,,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪20,000","₪20,000",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2009,19310367,תרבות בקהילה - תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪15,000","₪15,000",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2008,19310367,תרבות בקהילה - תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪15,000","₪15,000",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2016,19420232,מורשת עדות ישראל,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪150,000","₪150,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2014,19420232,מורשת עדות ישראל,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪123,479","₪123,479",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2011,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪110,000","₪110,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2010,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪110,000","₪110,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2015,19420232,מורשת עדות ישראל,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪100,949","₪100,949",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2012,19420232,,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪94,906","₪94,906",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2009,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪60,000","₪60,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2008,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪60,000","₪60,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2014,19420214,מוסדות תרבות מדע ומחקר,א.ל.ע.ד. - אל עיר דוד,580108660,association,"₪128,259","₪128,259",דרך חברון 183 ירושלים 9343043,ירושלים,
2015,19420214,מוסדות תרבות מדע ומחקר,א.ל.ע.ד. - אל עיר דוד,580108660,association,"₪118,527","₪118,527",דרך חברון 183 ירושלים 9343043,ירושלים,
2016,19420214,מוסדות תרבות מדע ומחקר,א.ל.ע.ד. - אל עיר דוד,580108660,association,"₪111,052","₪111,052",דרך חברון 183 ירושלים 9343043,ירושלים,
2013,19420214,מוסדות תרבות מדע ומחקר,א.ל.ע.ד. - אל עיר דוד,580108660,association,"₪72,324","₪72,324",דרך חברון 183 ירושלים 9343043,ירושלים,
2016,19420216,מוסיקה ותזמורות - תמיכה,א.מ.א. - אומנות מקורית אלטרנטיבית (,580455939,association,"₪22,000","₪22,000",לבונטין 7 תל אביב - יפו 6511106,תל אביב - יפו,
2016,19420214,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪484,991","₪484,991",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2015,19420214,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪420,000","₪420,000",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2014,19420214,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪420,000","₪420,000",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2013,19420214,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪400,000","₪400,000",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2012,19420214,,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪391,520","₪391,520",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2011,19310345,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪360,000","₪360,000",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2010,19310345,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪330,000","₪330,000",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2008,19310345,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪300,000","₪300,000",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2009,19310345,מוסדות תרבות מדע ומחקר,א.מ.י. - אגודת אמני ישראל,580118420,association,"₪299,999","₪299,999",הארבעה 5 בניין סינמטק האגף החדש תל אביב - יפו 6473905,תל אביב - יפו,
2015,19420233,פעולות תרבות ערבית,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪350,000","₪350,000",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2016,19420233,פעולות תרבות ערבית,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪291,640","₪291,640",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2014,19420233,פעולות תרבות ערבית,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪211,009","₪211,009",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2012,19420233,,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪210,670","₪210,670",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2013,19420233,פעולות תרבות ערבית,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪185,219","₪185,219",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2011,19310373,פעולות תרבות ערבית - תמיכה,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪173,624","₪173,624",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2010,19310373,פעולות תרבות ערבית - תמיכה,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪130,437","₪130,437",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2008,19310373,פעולות תרבות ערבית - תמיכה,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪126,719","₪126,719",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2010,19310340,תמיכה לשיפוצים במוסדות תרבות,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪100,000","₪100,000",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2009,19310373,פעולות תרבות ערבית - תמיכה,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪96,417","₪96,417",מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2012,19420210,,אבדאע - עמותה לקידום האמנויות במגזר,580257327,association,"₪50,000",₪0,מרכז קהילתי ת.ד. 1099 כפר יאסיף 24908,כפר יאסיף,
2016,19420231,תרבות בקהילה תמיכה,"אביבים, המכון למוסיקה יהודית (ער)",580363091,association,"₪344,514","₪344,514",38 רח' דרכי איש 5 ביתר עילית,ביתר,
2015,19420231,תרבות בקהילה תמיכה,"אביבים, המכון למוסיקה יהודית (ער)",580363091,association,"₪232,557","₪232,557",38 רח' דרכי איש 5 ביתר עילית,ביתר,
2014,19420231,תרבות בקהילה תמיכה,"אביבים, המכון למוסיקה יהודית (ער)",580363091,association,"₪194,553","₪194,553",38 רח' דרכי איש 5 ביתר עילית,ביתר,
2013,19420231,תרבות בקהילה תמיכה,"אביבים, המכון למוסיקה יהודית (ער)",580363091,association,"₪170,000","₪170,000",38 רח' דרכי איש 5 ביתר עילית,ביתר,
2016,19420213,פרסי תרבות,אבן - חשן הוצאה לאור בעמ,511942690,company,"₪20,000","₪20,000",,לא ידוע,
2015,19420213,פרסי תרבות,אבן - חשן הוצאה לאור בעמ,511942690,company,"₪20,000","₪20,000",,לא ידוע,
2008,19310367,תרבות בקהילה - תמיכה,אגודה בינלאומית של מארגני פסטיבלים,580090173,association,"₪15,000","₪15,000","הנרייטה סולד 2/503 סיאוף - לידי ד""ר דן רונן 503 ירושלים",ירושלים,
2009,19310367,תרבות בקהילה - תמיכה,אגודה בינלאומית של מארגני פסטיבלים,580090173,association,"₪3,000","₪3,000","הנרייטה סולד 2/503 סיאוף - לידי ד""ר דן רונן 503 ירושלים",ירושלים,
2016,19420228,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪619,436","₪619,436",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2009,19310363,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪579,969","₪579,969",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2008,19310363,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪554,825","₪554,825",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2011,19310363,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪546,716","₪546,716",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2010,19310363,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪544,901","₪544,901",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2012,19420228,,אגודה לקידום הקולנוע בישראל,580151272,association,"₪526,206","₪526,206",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2013,19420228,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪488,402","₪488,402",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2014,19420228,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪481,195","₪481,195",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2015,19420228,חוק הקולנוע,אגודה לקידום הקולנוע בישראל,580151272,association,"₪417,296","₪417,296",ת.ד 6180 תל אביב - יפו 61061,תל אביב - יפו,
2008,19310356,אמנות פלסטית,אגודת המעצבים הגרפיים בישראל,580034502,association,"₪12,293","₪12,293","בין רח' פרוג 17 לרח' דב הוז 14 מקלט אמנים, ת.ד. 11554 תל אביב - יפו 61114",תל אביב - יפו,
2008,19310340,תמיכה לשיפוצים במוסדות תרבות,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪1,400,000","₪1,400,000",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2008,19310345,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪1,300,000","₪1,300,000",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2009,19310345,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪1,000,000","₪699,558",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2012,19420214,,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪650,000","₪650,000",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2011,19310345,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪650,000","₪650,000",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2010,19310345,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪650,000","₪650,000",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2013,19420214,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪615,424","₪615,424",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2008,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪528,474","₪528,474",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2014,19420214,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪524,973","₪413,750",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2009,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪501,092","₪501,092",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2016,19420214,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪444,677","₪444,677",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2012,19420222,,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪437,764","₪437,764",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2009,19310340,תמיכה לשיפוצים במוסדות תרבות,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪428,500","₪428,500",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2011,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪427,607","₪427,607",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2013,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪420,871","₪420,871",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2010,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪415,503","₪415,503",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2016,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪413,749","₪413,749",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2014,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪389,140","₪389,140",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2015,19420214,מוסדות תרבות מדע ומחקר,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪388,916","₪388,916",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2015,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪375,379","₪375,379",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2010,19310340,תמיכה לשיפוצים במוסדות תרבות,אגודת הסופרים העבריים במדינת ישראל,580013860,association,"₪180,000","₪180,000",קפלן 6 בית הסופר תל אביב - יפו 6473407,תל אביב - יפו,
2010,19310356,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪400,000","₪400,000",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2008,19310356,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪400,000","₪400,000",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2009,19310356,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪398,327","₪398,327",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2016,19420224,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪398,164","₪398,164",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2012,19420224,,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪384,776","₪384,776",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2015,19420224,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪375,430","₪375,430",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2011,19310356,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪368,585","₪368,585",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2014,19420224,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪354,354","₪354,354",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2013,19420224,אמנות פלסטית,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪340,724","₪340,724",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2016,19420247,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪144,765","₪144,765",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2015,19420247,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪102,075","₪102,075",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2009,19310396,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪80,000","₪80,000",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2010,19310396,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪74,313","₪74,313",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2011,19310396,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪71,820","₪71,820",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2012,19420247,,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪70,520","₪70,520",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2008,19310396,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪65,000","₪65,000",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2013,19420247,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪62,999","₪62,999",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2014,19420247,מענק ירושלים לתרבות,אגודת הציירים והפסלים בישראל-אמני י,580008068,association,"₪56,680","₪56,680",שמואל הנגיד 12 ירושלים 9459212,ירושלים,
2016,19420232,מורשת עדות ישראל,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪250,000","₪250,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2015,19420232,מורשת עדות ישראל,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪200,000","₪200,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2012,19420232,,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪180,000","₪180,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2014,19420232,מורשת עדות ישראל,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪179,605","₪179,605",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2016,19420231,תרבות בקהילה תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪164,678","₪164,678",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2013,19420232,מורשת עדות ישראל,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪160,000","₪160,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2011,19310369,מורשת עדות ישראל - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪160,000","₪160,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2010,19310369,מורשת עדות ישראל - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪121,000","₪121,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2013,19420231,תרבות בקהילה תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪110,000","₪110,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2012,19420231,,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪110,000","₪110,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2015,19420231,תרבות בקהילה תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪108,396","₪108,396",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2014,19420231,תרבות בקהילה תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪97,277","₪97,277",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2010,19310367,תרבות בקהילה - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪80,000","₪80,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2008,19310369,מורשת עדות ישראל - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪80,000","₪80,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2011,19310367,תרבות בקהילה - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪74,800","₪74,800",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2009,19310369,מורשת עדות ישראל - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪60,000","₪60,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2016,19420245,שימור אתרי התיישבות,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪55,000","₪55,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2014,19420245,שימור אתרי התיישבות,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪52,229","₪52,229",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2009,19310394,שימור אתרי התיישבות - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪50,000","₪50,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2011,19310394,שימור אתרי התיישבות - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪49,761","₪49,761",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2013,19420245,שימור אתרי התיישבות,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪48,228","₪48,228",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2015,19420245,שימור אתרי התיישבות,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪46,543","₪46,543",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2012,19420245,,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪45,872","₪45,872",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2010,19310394,שימור אתרי התיישבות - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪45,000","₪45,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2008,19310394,שימור אתרי התיישבות - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪40,000","₪40,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2009,19310367,תרבות בקהילה - תמיכה,אגודת ישיבת קרלין סטולין בית אהרון,580002996,association,"₪25,000","₪25,000",אבינועם ילין 11 ירושלים 9526411,ירושלים,
2009,19310374,מוסדות תרבות תורנית - תמיכה,אגודת מוסדות קהילתיים קרית צאנז,580028066,association,"₪150,769","₪150,769",רחוב דברי חיים 5 נתניה 42150,נתניה,
2008,19310374,מוסדות תרבות תורנית - תמיכה,אגודת מוסדות קהילתיים קרית צאנז,580028066,association,"₪141,241","₪141,241",רחוב דברי חיים 5 נתניה 42150,נתניה,
2008,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪158,451","₪158,451",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2009,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪156,600","₪156,600",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2016,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪155,623","₪155,623",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2015,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪148,456","₪148,456",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2012,19420222,,אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪135,531","₪135,531",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2013,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪125,582","₪125,582",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2010,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪124,100","₪124,100",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2014,19420222,"ספרות, כתבי עת ומפעלי תרבות",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪122,770","₪122,770",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2011,19310354,"ספרות, כתבי עת ומפעלי תרבות-תמיכה",אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪108,435","₪108,435",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2014,19420213,פרסי תרבות,אגודת סופרים ואמנים לקידום הספרות ו,580073575,association,"₪20,000","₪20,000",דרך מנחם בגין 72 תל אביב - יפו 67137,תל אביב - יפו,
2016,19420231,תרבות בקהילה תמיכה,אגודת קרית חבד בעיהק צפת תו,580022853,association,"₪38,924",₪0,"קרית חב""ד 220 צפת 13410",צפת,
2016,19420218,מוזיאונים - תמיכה,אגודת שוחרי מוזיאון האדם והחי,580004794,association,"₪262,941","₪262,941",הפארק הלאומי ת.ד. 947 רמת גן 52109,רמת גן,
2015,19420218,מוזיאונים - תמיכה,אגודת שוחרי מוזיאון האדם והחי,580004794,association,"₪244,501","₪244,501",הפארק הלאומי ת.ד. 947 רמת גן 52109,רמת גן,
2014,19420218,מוזיאונים - תמיכה,אגודת שוחרי מוזיאון האדם והחי,580004794,association,"₪237,298","₪237,298",הפארק הלאומי ת.ד. 947 רמת גן 52109,רמת גן,
2009,19310350,מוזיאונים - תמיכה,אגודת שוחרי מוזיאון האדם והחי,580004794,association,"₪233,419","₪233,419",הפארק הלאומי ת.ד. 947 רמת גן 52109,רמת גן,
2008,19310350,מוזיאונים - תמיכה,אגודת שוחרי מוזיאון האדם והחי,580004794,association,"₪225,487","₪225,487",הפארק הלאומי ת.ד. 947 רמת גן 52109,רמת גן,
